"run","day","filename","filename_fullpaths","sample_name","site","samplenumber_site","latlong","collection_date","inclusionexclusionreason"
"052214DR16s","day0","day0_C03.SAC11_052214DR16s-Sam1-80-pr_filt.fastq.gz","3_filtered/day0_C03.SAC11_052214DR16s-Sam1-80-pr_filt.fastq.gz","SAC11","SAC","11","51.76899 N 0.34911 W","2013-12-03","this study"
"052214DR16s","day0","day0_C03.WGP19_052214DR16s-Sam476-550_filt.fastq.gz","3_filtered/day0_C03.WGP19_052214DR16s-Sam476-550_filt.fastq.gz","WGP19","WGP","19","51.4372 N 0.6134 W","2013-09-26","this study"
"052214DR16s","day0","day0_C03.WYM43_052214DR16s-Sam701-775-pr_filt.fastq.gz","3_filtered/day0_C03.WYM43_052214DR16s-Sam701-775-pr_filt.fastq.gz","WYM43","WYM","43","51.7686 N 1.3357 W","2013-10-22","this study"
"052214DR16s","day0","day0_C03.WYT11_052214DR16s-SAM81-160-pr_filt.fastq.gz","3_filtered/day0_C03.WYT11_052214DR16s-SAM81-160-pr_filt.fastq.gz","WYT11","WYT","11","51.7673 N 1.3299 W","2013-10-16","this study"
"052214DR16s","day0","day0_C03.WYT113_052214DR16s-Sam776-850-pr_filt.fastq.gz","3_filtered/day0_C03.WYT113_052214DR16s-Sam776-850-pr_filt.fastq.gz","WYT113","WYT","113","51.772 N 1.3364 W","2013-10-25","this study"
"052214DR16s","day0","day0_C03.WYT51_052214DR16s-Sam551-625-pr_filt.fastq.gz","3_filtered/day0_C03.WYT51_052214DR16s-Sam551-625-pr_filt.fastq.gz","WYT51","WYT","51","51.7684 N 1.3327 W","2013-10-22","this study"
"052214DR16s","day0","day0_C04.BB67_052214DR16s-Sam701-775-pr_filt.fastq.gz","3_filtered/day0_C04.BB67_052214DR16s-Sam701-775-pr_filt.fastq.gz","BB67","BB","67","51.5599 N 0.6312 W","2013-08-29","this study"
"052214DR16s","day0","day0_C04.BW11_052214DR16s-Sam476-550_filt.fastq.gz","3_filtered/day0_C04.BW11_052214DR16s-Sam476-550_filt.fastq.gz","BW11","BW","11","51.54755 N 0.77311 W","2013-10-29","this study"
"052214DR16s","day0","day0_C04.PH19_052214DR16s-Sam626-700-pr_filt.fastq.gz","3_filtered/day0_C04.PH19_052214DR16s-Sam626-700-pr_filt.fastq.gz","PH19","PH","19","51.56965 N 0.81288 W","2013-12-07","this study"
"052214DR16s","day0","day0_C04.SAC03_052214DR16s-Sam321-400-pr_filt.fastq.gz","3_filtered/day0_C04.SAC03_052214DR16s-Sam321-400-pr_filt.fastq.gz","SAC03","SAC","3","51.76896 N 0.34829 W","2013-12-03","this study"
"052214DR16s","day0","day0_C04.WYC11_052214DR16s-SAM81-160-pr_filt.fastq.gz","3_filtered/day0_C04.WYC11_052214DR16s-SAM81-160-pr_filt.fastq.gz","WYC11","WYC","11","51.7693 N 1.3292 W","2013-10-22","this study"
"052214DR16s","day0","day0_C04.WYD11_052214DR16s-Sam1-80-pr_filt.fastq.gz","3_filtered/day0_C04.WYD11_052214DR16s-Sam1-80-pr_filt.fastq.gz","WYD11","WYD","11","51.769 N 1.3289 W","2013-10-22","this study"
