"X","filename","community","day","rep","seq.run","well"
167,"day0_B05.BB74_052214DR16s-Sam701-775-pr_filt.fastq.gz","BB74",0,NA,"052214DR16s","B05"
168,"day0_B05.BB90_052214DR16s-Sam776-850-pr_filt.fastq.gz","BB90",0,NA,"052214DR16s","B05"
169,"day0_B05.BCW10_052214DR16s-Sam1-80-pr_filt.fastq.gz","BCW10",0,NA,"052214DR16s","B05"
170,"day0_B05.SP11_052214DR16s-Sam401-475-pr_filt.fastq.gz","SP11",0,NA,"052214DR16s","B05"
171,"day0_B05.WYC18_052214DR16s-SAM81-160-pr_filt.fastq.gz","WYC18",0,NA,"052214DR16s","B05"
174,"day0_B06.AE90_052214DR16s-Sam776-850-pr_filt.fastq.gz","AE90",0,NA,"052214DR16s","B06"
175,"day0_B06.BB18_052214DR16s-SAM81-160-pr_filt.fastq.gz","BB18",0,NA,"052214DR16s","B06"
177,"day0_B06.BB82_052214DR16s-Sam701-775-pr_filt.fastq.gz","BB82",0,NA,"052214DR16s","B06"
178,"day0_B06.WGP02_052214DR16s-Sam321-400-pr_filt.fastq.gz","WGP02",0,NA,"052214DR16s","B06"
179,"day0_B06.WGP10_052214DR16s-Sam1-80-pr_filt.fastq.gz","WGP10",0,NA,"052214DR16s","B06"
180,"day0_B06.WYC34_052214DR16s-Sam476-550_filt.fastq.gz","WYC34",0,NA,"052214DR16s","B06"
183,"day0_B07.AE102_052214DR16s-Sam776-850-pr_filt.fastq.gz","AE102",0,NA,"052214DR16s","B07"
184,"day0_B07.AE66_052214DR16s-Sam626-700-pr_filt.fastq.gz","AE66",0,NA,"052214DR16s","B07"
185,"day0_B07.BB26_052214DR16s-SAM81-160-pr_filt.fastq.gz","BB26",0,NA,"052214DR16s","B07"
186,"day0_B07.PH10_052214DR16s-Sam476-550_filt.fastq.gz","PH10",0,NA,"052214DR16s","B07"
187,"day0_B07.WEL02_052214DR16s-Sam321-400-pr_filt.fastq.gz","WEL02",0,NA,"052214DR16s","B07"
188,"day0_B07.WEL02_052214DR16s-Sam401-475-pr_filt.fastq.gz","WEL02",0,NA,"052214DR16s","B07"
189,"day0_B07.WP02_052214DR16s-Sam1-80-pr_filt.fastq.gz","WP02",0,NA,"052214DR16s","B07"
191,"day0_B07.WYT58_052214DR16s-Sam701-775-pr_filt.fastq.gz","WYT58",0,NA,"052214DR16s","B07"
192,"day0_B08.AE110_052214DR16s-Sam851-925-pr_filt.fastq.gz","AE110",0,NA,"052214DR16s","B08"
193,"day0_B08.AE18_052214DR16s-Sam551-625-pr_filt.fastq.gz","AE18",0,NA,"052214DR16s","B08"
194,"day0_B08.BB34_052214DR16s-SAM81-160-pr_filt.fastq.gz","BB34",0,NA,"052214DR16s","B08"
196,"day0_B08.LW08_052214DR16s-Sam1-80-pr_filt.fastq.gz","LW08",0,NA,"052214DR16s","B08"
197,"day0_B08.OWW02_052214DR16s-Sam321-400-pr_filt.fastq.gz","OWW02",0,NA,"052214DR16s","B08"
198,"day0_B08.WEL18_052214DR16s-Sam401-475-pr_filt.fastq.gz","WEL18",0,NA,"052214DR16s","B08"
199,"day0_B08.WiW26_052214DR16s-Sam701-775-pr_filt.fastq.gz","WiW26",0,NA,"052214DR16s","B08"
200,"day0_B08.WYT72_052214DR16s-Sam626-700-pr_filt.fastq.gz","WYT72",0,NA,"052214DR16s","B08"
201,"day0_B09.AE113_052214DR16s-Sam851-925-pr_filt.fastq.gz","AE113",0,NA,"052214DR16s","B09"
203,"day0_B09.HW02_052214DR16s-Sam1-80-pr_filt.fastq.gz","HW02",0,NA,"052214DR16s","B09"
204,"day0_B09.PH02_052214DR16s-Sam161-240-pr_filt.fastq.gz","PH02",0,NA,"052214DR16s","B09"
205,"day0_B09.WiW02_052214DR16s-Sam321-400-pr_filt.fastq.gz","WiW02",0,NA,"052214DR16s","B09"
206,"day0_B09.WiW34_052214DR16s-Sam701-775-pr_filt.fastq.gz","WiW34",0,NA,"052214DR16s","B09"
208,"day0_B09.WYT26_052214DR16s-Sam551-625-pr_filt.fastq.gz","WYT26",0,NA,"052214DR16s","B09"
209,"day0_B09.WYT80_052214DR16s-Sam626-700-pr_filt.fastq.gz","WYT80",0,NA,"052214DR16s","B09"
212,"day0_B10.AE153_052214DR16s-Sam551-625-pr_filt.fastq.gz","AE153",0,NA,"052214DR16s","B10"
215,"day0_B10.WF02_052214DR16s-Sam321-400-pr_filt.fastq.gz","WF02",0,NA,"052214DR16s","B10"
216,"day0_B10.WiW10_052214DR16s-Sam1-80-pr_filt.fastq.gz","WiW10",0,NA,"052214DR16s","B10"
217,"day0_B10.WiW42_052214DR16s-Sam701-775-pr_filt.fastq.gz","WiW42",0,NA,"052214DR16s","B10"
218,"day0_B10.WYM10_052214DR16s-Sam401-475-pr_filt.fastq.gz","WYM10",0,NA,"052214DR16s","B10"
220,"day0_B10.WYT88_052214DR16s-Sam626-700-pr_filt.fastq.gz","WYT88",0,NA,"052214DR16s","B10"
221,"day0_B11.AE10_052214DR16s-Sam476-550_filt.fastq.gz","AE10",0,NA,"052214DR16s","B11"
223,"day0_B11.AE155c_052214DR16s-Sam241-320-pr_filt.fastq.gz","AE155c",0,NA,"052214DR16s","B11"
224,"day0_B11.AE161_052214DR16s-Sam551-625-pr_filt.fastq.gz","AE161",0,NA,"052214DR16s","B11"
225,"day0_B11.AE34_052214DR16s-Sam161-240-pr_filt.fastq.gz","AE34",0,NA,"052214DR16s","B11"
226,"day0_B11.AE74_052214DR16s-Sam776-850-pr_filt.fastq.gz","AE74",0,NA,"052214DR16s","B11"
227,"day0_B11.BWd02_052214DR16s-Sam321-400-pr_filt.fastq.gz","BWd02",0,NA,"052214DR16s","B11"
229,"day0_B11.WiW50_052214DR16s-Sam626-700-pr_filt.fastq.gz","WiW50",0,NA,"052214DR16s","B11"
230,"day0_B11.WYC02_052214DR16s-SAM81-160-pr_filt.fastq.gz","WYC02",0,NA,"052214DR16s","B11"
231,"day0_B12.AE137_052214DR16s-Sam851-925-pr_filt.fastq.gz","AE137",0,NA,"052214DR16s","B12"
232,"day0_B12.AE169_052214DR16s-Sam551-625-pr_filt.fastq.gz","AE169",0,NA,"052214DR16s","B12"
233,"day0_B12.AE42_052214DR16s-Sam161-240-pr_filt.fastq.gz","AE42",0,NA,"052214DR16s","B12"
235,"day0_B12.AE82_052214DR16s-Sam776-850-pr_filt.fastq.gz","AE82",0,NA,"052214DR16s","B12"
236,"day0_B12.LW02_052214DR16s-Sam321-400-pr_filt.fastq.gz","LW02",0,NA,"052214DR16s","B12"
238,"day0_B12.WP10_052214DR16s-SAM81-160-pr_filt.fastq.gz","WP10",0,NA,"052214DR16s","B12"
239,"day0_B12.WYM18_052214DR16s-Sam626-700-pr_filt.fastq.gz","WYM18",0,NA,"052214DR16s","B12"
249,"day0_BW17_052214DR16s-Sam776-850-pr_filt.fastq.gz","052214DR16s",0,NA,"052214DR16s","BW17"
250,"day0_BW18_052214DR16s-Sam776-850-pr_filt.fastq.gz","052214DR16s",0,NA,"052214DR16s","BW18"
251,"day0_BW19_052214DR16s-Sam776-850-pr_filt.fastq.gz","052214DR16s",0,NA,"052214DR16s","BW19"
252,"day0_BW20_052214DR16s-Sam776-850-pr_filt.fastq.gz","052214DR16s",0,NA,"052214DR16s","BW20"
253,"day0_BW21_052214DR16s-Sam776-850-pr_filt.fastq.gz","052214DR16s",0,NA,"052214DR16s","BW21"
254,"day0_BW22_052214DR16s-Sam776-850-pr_filt.fastq.gz","052214DR16s",0,NA,"052214DR16s","BW22"
255,"day0_BW23_052214DR16s-Sam776-850-pr_filt.fastq.gz","052214DR16s",0,NA,"052214DR16s","BW23"
256,"day0_BW24_052214DR16s-Sam776-850-pr_filt.fastq.gz","052214DR16s",0,NA,"052214DR16s","BW24"
