"","community","day","rep","seq.run","well"
"300","WYC27",0,NA,"052214DR16s","C05"
"301","WYM02c",0,NA,"052214DR16s","C05"
"302","AE91",0,NA,"052214DR16s","C06"
"303","BB19",0,NA,"052214DR16s","C06"
"304","BB59",0,NA,"052214DR16s","C06"
"305","BB83",0,NA,"052214DR16s","C06"
"306","WGP03",0,NA,"052214DR16s","C06"
"307","WGP11",0,NA,"052214DR16s","C06"
"308","WYC35",0,NA,"052214DR16s","C06"
"309","WYC43",0,NA,"052214DR16s","C06"
"310","WYT63c",0,NA,"052214DR16s","C06"
"311","AE101c",0,NA,"052214DR16s","C07"
"312","AE103",0,NA,"052214DR16s","C07"
"313","AE67",0,NA,"052214DR16s","C07"
"314","BB27",0,NA,"052214DR16s","C07"
"315","PH11",0,NA,"052214DR16s","C07"
"316","WEL03",0,NA,"052214DR16s","C07"
"317","WEL03",0,NA,"052214DR16s","C07"
"318","WP03",0,NA,"052214DR16s","C07"
"319","WYT59",0,NA,"052214DR16s","C07"
"320","AE111",0,NA,"052214DR16s","C08"
"321","AE19",0,NA,"052214DR16s","C08"
"322","BB35",0,NA,"052214DR16s","C08"
"323","CHE05c",0,NA,"052214DR16s","C08"
"324","LW09",0,NA,"052214DR16s","C08"
"325","OWW03",0,NA,"052214DR16s","C08"
"326","WEL19",0,NA,"052214DR16s","C08"
"327","WiW27",0,NA,"052214DR16s","C08"
"328","WYT73",0,NA,"052214DR16s","C08"
"329","AE114",0,NA,"052214DR16s","C09"
"330","BB43",0,NA,"052214DR16s","C09"
"331","CHE13c",0,NA,"052214DR16s","C09"
"332","HW03",0,NA,"052214DR16s","C09"
"333","PH03",0,NA,"052214DR16s","C09"
"334","WiW03",0,NA,"052214DR16s","C09"
"335","WiW35",0,NA,"052214DR16s","C09"
"336","WYT27",0,NA,"052214DR16s","C09"
"337","WYT81",0,NA,"052214DR16s","C09"
"338","KF",0,NA,"052214DR16s","C1"
"339","AE122",0,NA,"052214DR16s","C10"
"340","AE154",0,NA,"052214DR16s","C10"
"341","AE27",0,NA,"052214DR16s","C10"
"342","MU",0,NA,"052214DR16s","C10"
"343","WF03",0,NA,"052214DR16s","C10"
"344","WiW11",0,NA,"052214DR16s","C10"
"345","WiW43",0,NA,"052214DR16s","C10"
"346","WYM11",0,NA,"052214DR16s","C10"
"347","WYT12c",0,NA,"052214DR16s","C10"
"348","WYT89",0,NA,"052214DR16s","C10"
"349","AE11",0,NA,"052214DR16s","C11"
"350","AE130",0,NA,"052214DR16s","C11"
"351","AE162",0,NA,"052214DR16s","C11"
"352","AE172c",0,NA,"052214DR16s","C11"
"353","AE35",0,NA,"052214DR16s","C11"
"354","AE75",0,NA,"052214DR16s","C11"
"355","BWd03",0,NA,"052214DR16s","C11"
"356","PU",0,NA,"052214DR16s","C11"
"357","WiW51",0,NA,"052214DR16s","C11"
"358","WYC03",0,NA,"052214DR16s","C11"
"359","AE138",0,NA,"052214DR16s","C12"
"360","AE170",0,NA,"052214DR16s","C12"
"361","AE43",0,NA,"052214DR16s","C12"
"362","AE52c",0,NA,"052214DR16s","C12"
"363","AE83",0,NA,"052214DR16s","C12"
"364","LW03",0,NA,"052214DR16s","C12"
"365","RU",0,NA,"052214DR16s","C12"
"366","WP11",0,NA,"052214DR16s","C12"
"367","WYM19",0,NA,"052214DR16s","C12"
"368","WYT19",0,NA,"052214DR16s","C12"
"369","LF",0,NA,"052214DR16s","C2"
"370","MF",0,NA,"052214DR16s","C3"
"371","NF",0,NA,"052214DR16s","C4"
"372","QF",0,NA,"052214DR16s","C5"
"373","PF",0,NA,"052214DR16s","C6"
"374","RF",0,NA,"052214DR16s","C7"
"375","SF",0,NA,"052214DR16s","C8"
"376","KU",0,NA,"052214DR16s","C9"
"377","AE52",0,NA,"052214DR16s","D01"
"378","BB04",0,NA,"052214DR16s","D01"
"379","BB30c",0,NA,"052214DR16s","D01"
"380","HW12",0,NA,"052214DR16s","D01"
"381","OWW12",0,NA,"052214DR16s","D01"
"382","WYM28",0,NA,"052214DR16s","D01"
"383","WYT04",0,NA,"052214DR16s","D01"
"384","WYT36",0,NA,"052214DR16s","D01"
"385","WYT98",0,NA,"052214DR16s","D01"
"386","AE60",0,NA,"052214DR16s","D02"
"387","BB12",0,NA,"052214DR16s","D02"
"388","BB58c",0,NA,"052214DR16s","D02"
"389","BCW04",0,NA,"052214DR16s","D02"
"390","BCW20",0,NA,"052214DR16s","D02"
"391","WiW20",0,NA,"052214DR16s","D02"
"392","WYM36",0,NA,"052214DR16s","D02"
"393","WYT106",0,NA,"052214DR16s","D02"
"394","WYT44",0,NA,"052214DR16s","D02"
"395","BB100c",0,NA,"052214DR16s","D03"
"396","BW04",0,NA,"052214DR16s","D03"
"397","SAC12",0,NA,"052214DR16s","D03"
"398","WGP20",0,NA,"052214DR16s","D03"
"399","WiW28",0,NA,"052214DR16s","D03"
"400","WYM44",0,NA,"052214DR16s","D03"
"401","WYT114",0,NA,"052214DR16s","D03"
"402","WYT12",0,NA,"052214DR16s","D03"
"403","WYT52",0,NA,"052214DR16s","D03"
"404","BB68",0,NA,"052214DR16s","D04"
"405","BW12",0,NA,"052214DR16s","D04"
"406","PH20",0,NA,"052214DR16s","D04"
"407","POS",0,NA,"052214DR16s","D04"
"408","SAC04",0,NA,"052214DR16s","D04"
"409","SP08c",0,NA,"052214DR16s","D04"
"410","WiW36",0,NA,"052214DR16s","D04"
"411","WYC12",0,NA,"052214DR16s","D04"
"412","WYD12",0,NA,"052214DR16s","D04"
"413","AE04",0,NA,"052214DR16s","D05"
"414","BB52",0,NA,"052214DR16s","D05"
"415","BB76",0,NA,"052214DR16s","D05"
"416","BB92",0,NA,"052214DR16s","D05"
"417","BCW12",0,NA,"052214DR16s","D05"
"418","SP13",0,NA,"052214DR16s","D05"
"419","WYC20",0,NA,"052214DR16s","D05"
"420","WYC28",0,NA,"052214DR16s","D05"
"421","WYM21c",0,NA,"052214DR16s","D05"
"422","AE92",0,NA,"052214DR16s","D06"
"423","BB20",0,NA,"052214DR16s","D06"
"424","BB60",0,NA,"052214DR16s","D06"
"425","BB84",0,NA,"052214DR16s","D06"
"426","RDM01",0,NA,"052214DR16s","D06"
"427","WGP04",0,NA,"052214DR16s","D06"
"428","WGP12",0,NA,"052214DR16s","D06"
"429","WYC36",0,NA,"052214DR16s","D06"
"430","WYT87c",0,NA,"052214DR16s","D06"
"431","AE103c",0,NA,"052214DR16s","D07"
"432","AE104",0,NA,"052214DR16s","D07"
"433","AE68",0,NA,"052214DR16s","D07"
