"sample_name","library_ID","community","site","treehole_number_site","latlong","collection_date"
"day0_AE144_052214DR16s-Sam851-925-pr_filt","day0_AE144","AE144","AE","144","51.79739 N 0.56293 W",2013-11-21
"day0_AE145_052214DR16s-Sam851-925-pr_filt","day0_AE145","AE145","AE","145","51.79739 N 0.56293 W",2013-11-21
"day0_AE146_052214DR16s-Sam851-925-pr_filt","day0_AE146","AE146","AE","146","51.7973 N 0.56306 W",2013-11-21
"day0_AE147_052214DR16s-Sam851-925-pr_filt","day0_AE147","AE147","AE","147","51.79689 N 0.56356 W",2013-11-21
"day0_AE148_052214DR16s-Sam851-925-pr_filt","day0_AE148","AE148","AE","148","51.79694 N 0.56315 W",2013-11-21
"day0_AE149_052214DR16s-Sam851-925-pr_filt","day0_AE149","AE149","AE","149","51.79694 N 0.56315 W",2013-11-21
"day0_AE150_052214DR16s-Sam851-925-pr_filt","day0_AE150","AE150","AE","150","51.79702 N 0.56296 W",2013-11-21
"day0_AE151_052214DR16s-Sam851-925-pr_filt","day0_AE151","AE151","AE","151","51.79702 N 0.56296 W",2013-11-21
"day0_B01.AE50_052214DR16s-Sam476-550_filt","day0_B01.AE50","AE50","AE","50","51.78549 N 0.55107 W",2013-10-30
"day0_B01.BB02_052214DR16s-Sam1-80-pr_filt","day0_B01.BB02","BB02","BB","2","51.557 N 0.6335 W",2013-08-20
"day0_B01.HW10_052214DR16s-Sam401-475-pr_filt","day0_B01.HW10","HW10","HW","10","51.58514 N 0.77675 W",2013-10-29
"day0_B01.OWW10_052214DR16s-SAM81-160-pr_filt","day0_B01.OWW10","OWW10","OWW","10","51.4497 N 0.5968 W",2013-09-26
"day0_B01.WYM26_052214DR16s-Sam626-700-pr_filt","day0_B01.WYM26","WYM26","WYM","26","51.7685 N 1.3281 W",2013-10-22
"day0_B01.WYT02_052214DR16s-Sam241-320-pr_filt","day0_B01.WYT02","WYT02","WYT","2","51.7702 N 1.3293 W",2013-10-16
"day0_B01.WYT34_052214DR16s-Sam551-625-pr_filt","day0_B01.WYT34","WYT34","WYT","34","51.769 N 1.3293 W",2013-10-22
"day0_B01.WYT96_052214DR16s-Sam776-850-pr_filt","day0_B01.WYT96","WYT96","WYT","96","51.7728 N 1.337 W",2013-10-25
"day0_B02.AE58_052214DR16s-Sam476-550_filt","day0_B02.AE58","AE58","AE","58","51.7845 N 0.55139 W",2013-10-30
"day0_B02.BB10_052214DR16s-Sam1-80-pr_filt","day0_B02.BB10","BB10","BB","10","51.5591 N 0.6347 W",2013-08-20
"day0_B02.BCW02_052214DR16s-Sam241-320-pr_filt","day0_B02.BCW02","BCW02","BCW","2","51.1395 N 3.7535 W",2014-04-21
"day0_B02.BCW18_052214DR16s-SAM81-160-pr_filt","day0_B02.BCW18","BCW18","BCW","18","50.9718 N 3.4543 W",2014-04-21
"day0_B02.WiW18_052214DR16s-Sam401-475-pr_filt","day0_B02.WiW18","WiW18","WiW","18","51.4414 N 0.5997 W",2013-09-18
"day0_B02.WYM34_052214DR16s-Sam701-775-pr_filt","day0_B02.WYM34","WYM34","WYM","34","51.7635 N 1.3267 W",2013-10-22
"day0_B02.WYT104_052214DR16s-Sam776-850-pr_filt","day0_B02.WYT104","WYT104","WYT","104","51.7724 N 1.3381 W",2013-10-25
"day0_B02.WYT42_052214DR16s-Sam551-625-pr_filt","day0_B02.WYT42","WYT42","WYT","42","51.7687 N 1.3291 W",2013-10-22
"day0_B03.BW02_052214DR16s-Sam241-320-pr_filt","day0_B03.BW02","BW02","BW","2","51.54858 N 0.77309 W",2013-10-29
"day0_B03.SAC10_052214DR16s-Sam1-80-pr_filt","day0_B03.SAC10","SAC10","SAC","10","51.76949 N 0.34862 W",2013-12-03
"day0_B03.WGP18_052214DR16s-Sam476-550_filt","day0_B03.WGP18","WGP18","WGP","18","51.4372 N 0.6134 W",2013-09-26
"day0_B03.WiW26_052214DR16s-Sam401-475-pr_filt","day0_B03.WiW26","WiW26","WiW","26","51.4416 N 0.6009 W",2013-09-18
"day0_B03.WYM42_052214DR16s-Sam701-775-pr_filt","day0_B03.WYM42","WYM42","WYM","42","51.7686 N 1.3356 W",2013-10-22
"day0_B03.WYT10_052214DR16s-SAM81-160-pr_filt","day0_B03.WYT10","WYT10","WYT","10","51.7693 N 1.3293 W",2013-10-16
"day0_B03.WYT112_052214DR16s-Sam776-850-pr_filt","day0_B03.WYT112","WYT112","WYT","112","51.772 N 1.3364 W",2013-10-25
"day0_B03.WYT50_052214DR16s-Sam551-625-pr_filt","day0_B03.WYT50","WYT50","WYT","50","51.7648 N 1.3278 W",2013-10-22
