sampleid	Name.2	Community	Species	replicate	BreakingBag	parent	Location	Experiment
WiW03.4	NA	NA	NA	4	NA	WiW03	GreenbroomCovert	7D_rep4
WiW04.1	NA	NA	NA	1	NA	WiW04	GreenbroomCovert	7D_rep1
WiW04.2	NA	NA	NA	2	NA	WiW04	GreenbroomCovert	7D_rep2
WiW04.3	NA	NA	NA	3	NA	WiW04	GreenbroomCovert	7D_rep3
WiW04.4	NA	NA	NA	4	NA	WiW04	GreenbroomCovert	7D_rep4
WiW05.1	NA	NA	NA	1	NA	WiW05	GreenbroomCovert	7D_rep1
WiW05.2	NA	NA	NA	2	NA	WiW05	GreenbroomCovert	7D_rep2
WiW05.3	NA	NA	NA	3	NA	WiW05	GreenbroomCovert	7D_rep3
WiW05.4	NA	NA	NA	4	NA	WiW05	GreenbroomCovert	7D_rep4
WiW06.1	NA	NA	NA	1	NA	WiW06	GreenbroomCovert	7D_rep1
WiW06.2	NA	NA	NA	2	NA	WiW06	GreenbroomCovert	7D_rep2
WiW06.3	NA	NA	NA	3	NA	WiW06	GreenbroomCovert	7D_rep3
WiW06.4	NA	NA	NA	4	NA	WiW06	GreenbroomCovert	7D_rep4
WiW07.1	NA	NA	NA	1	NA	WiW07	GreenbroomCovert	7D_rep1
WiW07.2	NA	NA	NA	2	NA	WiW07	GreenbroomCovert	7D_rep2
WiW07.3	NA	NA	NA	3	NA	WiW07	GreenbroomCovert	7D_rep3
WiW07.4	NA	NA	NA	4	NA	WiW07	GreenbroomCovert	7D_rep4
WiW08.1	NA	NA	NA	1	NA	WiW08	GreenbroomCovert	7D_rep1
WiW08.2	NA	NA	NA	2	NA	WiW08	GreenbroomCovert	7D_rep2
WiW08.3	NA	NA	NA	3	NA	WiW08	GreenbroomCovert	7D_rep3
WiW08.4	NA	NA	NA	4	NA	WiW08	GreenbroomCovert	7D_rep4
WiW09.1	NA	NA	NA	1	NA	WiW09	GreenbroomCovert	7D_rep1
WiW09.2	NA	NA	NA	2	NA	WiW09	GreenbroomCovert	7D_rep2
WiW09.3	NA	NA	NA	3	NA	WiW09	GreenbroomCovert	7D_rep3
WiW09.4	NA	NA	NA	4	NA	WiW09	GreenbroomCovert	7D_rep4
WiW10.1	NA	NA	NA	1	NA	WiW10	GreenbroomCovert	7D_rep1
WiW10.2	NA	NA	NA	2	NA	WiW10	GreenbroomCovert	7D_rep2
WiW10.3	NA	NA	NA	3	NA	WiW10	GreenbroomCovert	7D_rep3
WiW10.4	NA	NA	NA	4	NA	WiW10	GreenbroomCovert	7D_rep4
WiW11.1	NA	NA	NA	1	NA	WiW11	GreenbroomCovert	7D_rep1
WiW11.2	NA	NA	NA	2	NA	WiW11	GreenbroomCovert	7D_rep2
WiW11.3	NA	NA	NA	3	NA	WiW11	GreenbroomCovert	7D_rep3
WiW11.4	NA	NA	NA	4	NA	WiW11	GreenbroomCovert	7D_rep4
WiW12.1	NA	NA	NA	1	NA	WiW12	GreenbroomCovert	7D_rep1
WiW12.2	NA	NA	NA	2	NA	WiW12	GreenbroomCovert	7D_rep2
WiW12.3	NA	NA	NA	3	NA	WiW12	GreenbroomCovert	7D_rep3
WiW12.4	NA	NA	NA	4	NA	WiW12	GreenbroomCovert	7D_rep4
WiW13.1	NA	NA	NA	1	NA	WiW13	GreenbroomCovert	7D_rep1
WiW13.2	NA	NA	NA	2	NA	WiW13	GreenbroomCovert	7D_rep2
WiW13.3	NA	NA	NA	3	NA	WiW13	GreenbroomCovert	7D_rep3
WiW13.4	NA	NA	NA	4	NA	WiW13	GreenbroomCovert	7D_rep4
WiW14.1	NA	NA	NA	1	NA	WiW14	GreenbroomCovert	7D_rep1
WiW14.2	NA	NA	NA	2	NA	WiW14	GreenbroomCovert	7D_rep2
WiW14.3	NA	NA	NA	3	NA	WiW14	GreenbroomCovert	7D_rep3
WiW14.4	NA	NA	NA	4	NA	WiW14	GreenbroomCovert	7D_rep4
WiW15.1	NA	NA	NA	1	NA	WiW15	GreenbroomCovert	7D_rep1
WiW15.2	NA	NA	NA	2	NA	WiW15	GreenbroomCovert	7D_rep2
WiW15.3	NA	NA	NA	3	NA	WiW15	GreenbroomCovert	7D_rep3
WiW15.4	NA	NA	NA	4	NA	WiW15	GreenbroomCovert	7D_rep4
WiW16.1	NA	NA	NA	1	NA	WiW16	GreenbroomCovert	7D_rep1
WiW16.2	NA	NA	NA	2	NA	WiW16	GreenbroomCovert	7D_rep2
WiW16.3	NA	NA	NA	3	NA	WiW16	GreenbroomCovert	7D_rep3
WiW16.4	NA	NA	NA	4	NA	WiW16	GreenbroomCovert	7D_rep4
WiW17.1	NA	NA	NA	1	NA	WiW17	GreenbroomCovert	7D_rep1
WiW17.2	NA	NA	NA	2	NA	WiW17	GreenbroomCovert	7D_rep2
WiW17.3	NA	NA	NA	3	NA	WiW17	GreenbroomCovert	7D_rep3
WiW17.4	NA	NA	NA	4	NA	WiW17	GreenbroomCovert	7D_rep4
WiW18.1	NA	NA	NA	1	NA	WiW18	GreenbroomCovert	7D_rep1
WiW18.2	NA	NA	NA	2	NA	WiW18	GreenbroomCovert	7D_rep2
WiW18.3	NA	NA	NA	3	NA	WiW18	GreenbroomCovert	7D_rep3
