sampleid,parent,replicate,replicate.partition,partition,Location,Time
BB09,BB09,0,0.3,3,BurhamBeeches,Starting
BB09.1,BB09,1,1.2,2,BurhamBeeches,Final
BB09.2,BB09,2,2.2,2,BurhamBeeches,Final
BB09.3,BB09,3,3.1,1,BurhamBeeches,Final
BB09.4,BB09,4,4.1,1,BurhamBeeches,Final
BB11,BB11,0,0.3,3,BurhamBeeches,Starting
BB11.1,BB11,1,1.1,1,BurhamBeeches,Final
BB11.2,BB11,2,2.1,1,BurhamBeeches,Final
BB11.3,BB11,3,3.1,1,BurhamBeeches,Final
BB11.4,BB11,4,4.1,1,BurhamBeeches,Final
BB12,BB12,0,0.5,5,BurhamBeeches,Starting
BB12.1,BB12,1,1.1,1,BurhamBeeches,Final
BB12.2,BB12,2,2.1,1,BurhamBeeches,Final
BB12.3,BB12,3,3.1,1,BurhamBeeches,Final
BB12.4,BB12,4,4.1,1,BurhamBeeches,Final
BB14,BB14,0,0.3,3,BurhamBeeches,Starting
BB14.1,BB14,1,1.1,1,BurhamBeeches,Final
BB14.2,BB14,2,2.1,1,BurhamBeeches,Final
BB14.3,BB14,3,3.1,1,BurhamBeeches,Final
BB14.4,BB14,4,4.1,1,BurhamBeeches,Final
BB15,BB15,0,0.3,3,BurhamBeeches,Starting
BB15.1,BB15,1,1.1,1,BurhamBeeches,Final
BB15.2,BB15,2,2.1,1,BurhamBeeches,Final
BB15.3,BB15,3,3.1,1,BurhamBeeches,Final
BB15.4,BB15,4,4.1,1,BurhamBeeches,Final
BB16,BB16,0,0.3,3,BurhamBeeches,Starting
BB16.1,BB16,1,1.1,1,BurhamBeeches,Final
BB16.2,BB16,2,2.1,1,BurhamBeeches,Final
BB16.3,BB16,3,3.1,1,BurhamBeeches,Final
BB16.4,BB16,4,4.1,1,BurhamBeeches,Final
BB17,BB17,0,0.3,3,BurhamBeeches,Starting
BB17.1,BB17,1,1.2,2,BurhamBeeches,Final
BB17.2,BB17,2,2.2,2,BurhamBeeches,Final
BB17.3,BB17,3,3.1,1,BurhamBeeches,Final
BB17.4,BB17,4,4.1,1,BurhamBeeches,Final
BB18,BB18,0,0.4,4,BurhamBeeches,Starting
BB18.1,BB18,1,1.1,1,BurhamBeeches,Final
BB18.2,BB18,2,2.1,1,BurhamBeeches,Final
BB18.3,BB18,3,3.1,1,BurhamBeeches,Final
BB18.4,BB18,4,4.1,1,BurhamBeeches,Final
BB20,BB20,0,0.3,3,BurhamBeeches,Starting
BB20.1,BB20,1,1.1,1,BurhamBeeches,Final
BB20.2,BB20,2,2.1,1,BurhamBeeches,Final
BB20.3,BB20,3,3.1,1,BurhamBeeches,Final
BB20.4,BB20,4,4.1,1,BurhamBeeches,Final
BB21,BB21,0,0.4,4,BurhamBeeches,Starting
BB21.1,BB21,1,1.1,1,BurhamBeeches,Final
BB21.2,BB21,2,2.1,1,BurhamBeeches,Final
BB21.3,BB21,3,3.1,1,BurhamBeeches,Final
BB21.4,BB21,4,4.1,1,BurhamBeeches,Final
BB23,BB23,0,0.1,1,BurhamBeeches,Starting
BB23.1,BB23,1,1.1,1,BurhamBeeches,Final
BB23.2,BB23,2,2.1,1,BurhamBeeches,Final
BB23.3,BB23,3,3.1,1,BurhamBeeches,Final
BB23.4,BB23,4,4.1,1,BurhamBeeches,Final
BB24,BB24,0,0.5,5,BurhamBeeches,Starting
BB24.1,BB24,1,1.1,1,BurhamBeeches,Final
BB24.2,BB24,2,2.1,1,BurhamBeeches,Final
BB24.3,BB24,3,3.1,1,BurhamBeeches,Final
BB24.4,BB24,4,4.1,1,BurhamBeeches,Final
BB25,BB25,0,0.3,3,BurhamBeeches,Starting
BB25.1,BB25,1,1.2,2,BurhamBeeches,Final
BB25.2,BB25,2,2.2,2,BurhamBeeches,Final
BB25.3,BB25,3,3.1,1,BurhamBeeches,Final
BB25.4,BB25,4,4.2,2,BurhamBeeches,Final
BB26,BB26,0,0.4,4,BurhamBeeches,Starting
BB26.1,BB26,1,1.2,2,BurhamBeeches,Final
BB26.2,BB26,2,2.2,2,BurhamBeeches,Final
BB26.3,BB26,3,3.2,2,BurhamBeeches,Final
BB26.4,BB26,4,4.2,2,BurhamBeeches,Final
BB33,BB33,0,0.3,3,BurhamBeeches,Starting
BB34,BB34,0,0.4,4,BurhamBeeches,Starting
BB36,BB36,0,0.4,4,BurhamBeeches,Starting
BB37,BB37,0,0.4,4,BurhamBeeches,Starting
BB38,BB38,0,0.2,2,BurhamBeeches,Starting
BB39,BB39,0,0.3,3,BurhamBeeches,Starting
BB43,BB43,0,0.4,4,BurhamBeeches,Starting
BB44,BB44,0,0.4,4,BurhamBeeches,Starting
BB45,BB45,0,0.4,4,BurhamBeeches,Starting
BB46,BB46,0,0.4,4,BurhamBeeches,Starting
BB47,BB47,0,0.4,4,BurhamBeeches,Starting
BB48,BB48,0,0.4,4,BurhamBeeches,Starting
BB49,BB49,0,0.4,4,BurhamBeeches,Starting
BB50,BB50,0,0.2,2,BurhamBeeches,Starting
BB51,BB51,0,0.4,4,BurhamBeeches,Starting
BB53,BB53,0,0.5,5,BurhamBeeches,Starting
BB54,BB54,0,0.5,5,BurhamBeeches,Starting
BB55,BB55,0,0.4,4,BurhamBeeches,Starting
BB56,BB56,0,0.4,4,BurhamBeeches,Starting
BB59,BB59,0,0.2,2,BurhamBeeches,Starting
BB62,BB62,0,0.4,4,BurhamBeeches,Starting
BB65,BB65,0,0.4,4,BurhamBeeches,Starting
BB67,BB67,0,0.4,4,BurhamBeeches,Starting
BB68,BB68,0,0.4,4,BurhamBeeches,Starting
BB69,BB69,0,0.4,4,BurhamBeeches,Starting
BB70,BB70,0,0.4,4,BurhamBeeches,Starting
BB71,BB71,0,0.4,4,BurhamBeeches,Starting
BB72,BB72,0,0.4,4,BurhamBeeches,Starting
BB73,BB73,0,0.4,4,BurhamBeeches,Starting
BB74,BB74,0,0.2,2,BurhamBeeches,Starting
BB75,BB75,0,0.4,4,BurhamBeeches,Starting
BB76,BB76,0,0.4,4,BurhamBeeches,Starting
BB77,BB77,0,0.4,4,BurhamBeeches,Starting
BB78,BB78,0,0.4,4,BurhamBeeches,Starting
BB79,BB79,0,0.3,3,BurhamBeeches,Starting
BB80,BB80,0,0.2,2,BurhamBeeches,Starting
BB81,BB81,0,0.3,3,BurhamBeeches,Starting
BB82,BB82,0,0.4,4,BurhamBeeches,Starting
BB83,BB83,0,0.3,3,BurhamBeeches,Starting
BB84,BB84,0,0.3,3,BurhamBeeches,Starting
BB85,BB85,0,0.2,2,BurhamBeeches,Starting
BB86,BB86,0,0.3,3,BurhamBeeches,Starting
BB87,BB87,0,0.4,4,BurhamBeeches,Starting
BB89,BB89,0,0.2,2,BurhamBeeches,Starting
BB90,BB90,0,0.4,4,BurhamBeeches,Starting
BB91,BB91,0,0.4,4,BurhamBeeches,Starting
BB92,BB92,0,0.2,2,BurhamBeeches,Starting
BB93,BB93,0,0.5,5,BurhamBeeches,Starting
BB94,BB94,0,0.4,4,BurhamBeeches,Starting
BB97,BB97,0,0.2,2,BurhamBeeches,Starting
BB98,BB98,0,0.5,5,BurhamBeeches,Starting
BB99,BB99,0,0.2,2,BurhamBeeches,Starting
BCW01,BCW01,0,0.6,6,BirchcleaveWood,Starting
BCW02,BCW02,0,0.5,5,BirchcleaveWood,Starting
BCW03,BCW03,0,0.5,5,BirchcleaveWood,Starting
BCW04,BCW04,0,0.4,4,BirchcleaveWood,Starting
BCW05,BCW05,0,0.6,6,BirchcleaveWood,Starting
BCW06,BCW06,0,0.4,4,BirchcleaveWood,Starting
BCW07,BCW07,0,0.6,6,BirchcleaveWood,Starting
