"","filename","community","day","rep","seq.run","well"
"103","day0_A12.AE136_052214DR16s-Sam851-925-pr_filt.fastq.gz","AE136",0,NA,"052214DR16s","A12"
"104","day0_A12.AE168_052214DR16s-Sam551-625-pr_filt.fastq.gz","AE168",0,NA,"052214DR16s","A12"
"105","day0_A12.AE27c_052214DR16s-Sam241-320-pr_filt.fastq.gz","AE27c",0,NA,"052214DR16s","A12"
"106","day0_A12.AE41_052214DR16s-Sam161-240-pr_filt.fastq.gz","AE41",0,NA,"052214DR16s","A12"
"107","day0_A12.AE81_052214DR16s-Sam776-850-pr_filt.fastq.gz","AE81",0,NA,"052214DR16s","A12"
"108","day0_A12.LW01_052214DR16s-Sam321-400-pr_filt.fastq.gz","LW01",0,NA,"052214DR16s","A12"
"109","day0_A12.RU.E3_052214DR16s-Sam926-1000-pr_filt.fastq.gz","RU",0,NA,"052214DR16s","A12"
"110","day0_A12.WP09_052214DR16s-SAM81-160-pr_filt.fastq.gz","WP09",0,NA,"052214DR16s","A12"
"111","day0_A12.WYM17_052214DR16s-Sam626-700-pr_filt.fastq.gz","WYM17",0,NA,"052214DR16s","A12"
"112","day0_A12.WYT17_052214DR16s-Sam476-550_filt.fastq.gz","WYT17",0,NA,"052214DR16s","A12"
"113","day0_A2.LF.G2_052214DR16s-Sam851-925-pr_filt.fastq.gz","LF",0,NA,"052214DR16s","A2"
"114","day0_A3.MF.E2_052214DR16s-Sam851-925-pr_filt.fastq.gz","MF",0,NA,"052214DR16s","A3"
"115","day0_A4.NF.E4_052214DR16s-Sam926-1000-pr_filt.fastq.gz","NF",0,NA,"052214DR16s","A4"
"116","day0_A5.QF.A5_052214DR16s-Sam926-1000-pr_filt.fastq.gz","QF",0,NA,"052214DR16s","A5"
"117","day0_A6.PF.C8_052214DR16s-Sam926-1000-pr_filt.fastq.gz","PF",0,NA,"052214DR16s","A6"
"118","day0_A7.RF.G1_052214DR16s-Sam926-1000-pr_filt.fastq.gz","RF",0,NA,"052214DR16s","A7"
"119","day0_A8.SF.A6_052214DR16s-Sam926-1000-pr_filt.fastq.gz","SF",0,NA,"052214DR16s","A8"
"120","day0_A9.KU.E4_052214DR16s-Sam926-1000-pr_filt.fastq.gz","KU",0,NA,"052214DR16s","A9"
"121","day0_AE144_052214DR16s-Sam851-925-pr_filt.fastq.gz","052214DR16s",0,NA,"052214DR16s","AE144"
"122","day0_AE145_052214DR16s-Sam851-925-pr_filt.fastq.gz","052214DR16s",0,NA,"052214DR16s","AE145"
"123","day0_AE146_052214DR16s-Sam851-925-pr_filt.fastq.gz","052214DR16s",0,NA,"052214DR16s","AE146"
"124","day0_AE147_052214DR16s-Sam851-925-pr_filt.fastq.gz","052214DR16s",0,NA,"052214DR16s","AE147"
"125","day0_AE148_052214DR16s-Sam851-925-pr_filt.fastq.gz","052214DR16s",0,NA,"052214DR16s","AE148"
"126","day0_AE149_052214DR16s-Sam851-925-pr_filt.fastq.gz","052214DR16s",0,NA,"052214DR16s","AE149"
"127","day0_AE150_052214DR16s-Sam851-925-pr_filt.fastq.gz","052214DR16s",0,NA,"052214DR16s","AE150"
"128","day0_AE151_052214DR16s-Sam851-925-pr_filt.fastq.gz","052214DR16s",0,NA,"052214DR16s","AE151"
"129","day0_B01.AE50_052214DR16s-Sam476-550_filt.fastq.gz","AE50",0,NA,"052214DR16s","B01"
"130","day0_B01.BB02_052214DR16s-Sam1-80-pr_filt.fastq.gz","BB02",0,NA,"052214DR16s","B01"
"131","day0_B01.BB28c_052214DR16s-Sam161-240-pr_filt.fastq.gz","BB28c",0,NA,"052214DR16s","B01"
"132","day0_B01.HW10_052214DR16s-Sam401-475-pr_filt.fastq.gz","HW10",0,NA,"052214DR16s","B01"
"133","day0_B01.OWW10_052214DR16s-SAM81-160-pr_filt.fastq.gz","OWW10",0,NA,"052214DR16s","B01"
"134","day0_B01.WYM26_052214DR16s-Sam626-700-pr_filt.fastq.gz","WYM26",0,NA,"052214DR16s","B01"
"135","day0_B01.WYT02_052214DR16s-Sam241-320-pr_filt.fastq.gz","WYT02",0,NA,"052214DR16s","B01"
"136","day0_B01.WYT34_052214DR16s-Sam551-625-pr_filt.fastq.gz","WYT34",0,NA,"052214DR16s","B01"
"137","day0_B01.WYT96_052214DR16s-Sam776-850-pr_filt.fastq.gz","WYT96",0,NA,"052214DR16s","B01"
"138","day0_B02.AE58_052214DR16s-Sam476-550_filt.fastq.gz","AE58",0,NA,"052214DR16s","B02"
"139","day0_B02.BB10_052214DR16s-Sam1-80-pr_filt.fastq.gz","BB10",0,NA,"052214DR16s","B02"
"140","day0_B02.BB52c_052214DR16s-Sam161-240-pr_filt.fastq.gz","BB52c",0,NA,"052214DR16s","B02"
"141","day0_B02.BCW02_052214DR16s-Sam241-320-pr_filt.fastq.gz","BCW02",0,NA,"052214DR16s","B02"
"142","day0_B02.BCW18_052214DR16s-SAM81-160-pr_filt.fastq.gz","BCW18",0,NA,"052214DR16s","B02"
"143","day0_B02.WiW18_052214DR16s-Sam401-475-pr_filt.fastq.gz","WiW18",0,NA,"052214DR16s","B02"
"144","day0_B02.WYM34_052214DR16s-Sam701-775-pr_filt.fastq.gz","WYM34",0,NA,"052214DR16s","B02"
"145","day0_B02.WYT104_052214DR16s-Sam776-850-pr_filt.fastq.gz","WYT104",0,NA,"052214DR16s","B02"
"146","day0_B02.WYT42_052214DR16s-Sam551-625-pr_filt.fastq.gz","WYT42",0,NA,"052214DR16s","B02"
"147","day0_B03.BB88c_052214DR16s-Sam161-240-pr_filt.fastq.gz","BB88c",0,NA,"052214DR16s","B03"
"148","day0_B03.BW02_052214DR16s-Sam241-320-pr_filt.fastq.gz","BW02",0,NA,"052214DR16s","B03"
"149","day0_B03.SAC10_052214DR16s-Sam1-80-pr_filt.fastq.gz","SAC10",0,NA,"052214DR16s","B03"
"150","day0_B03.WGP18_052214DR16s-Sam476-550_filt.fastq.gz","WGP18",0,NA,"052214DR16s","B03"
"151","day0_B03.WiW26_052214DR16s-Sam401-475-pr_filt.fastq.gz","WiW26",0,NA,"052214DR16s","B03"
"152","day0_B03.WYM42_052214DR16s-Sam701-775-pr_filt.fastq.gz","WYM42",0,NA,"052214DR16s","B03"
"153","day0_B03.WYT10_052214DR16s-SAM81-160-pr_filt.fastq.gz","WYT10",0,NA,"052214DR16s","B03"
"154","day0_B03.WYT112_052214DR16s-Sam776-850-pr_filt.fastq.gz","WYT112",0,NA,"052214DR16s","B03"
"155","day0_B03.WYT50_052214DR16s-Sam551-625-pr_filt.fastq.gz","WYT50",0,NA,"052214DR16s","B03"
"156","day0_B04.BB66_052214DR16s-Sam701-775-pr_filt.fastq.gz","BB66",0,NA,"052214DR16s","B04"
"157","day0_B04.BW10_052214DR16s-Sam476-550_filt.fastq.gz","BW10",0,NA,"052214DR16s","B04"
"158","day0_B04.PH18_052214DR16s-Sam626-700-pr_filt.fastq.gz","PH18",0,NA,"052214DR16s","B04"
"159","day0_B04.SAC02_052214DR16s-Sam321-400-pr_filt.fastq.gz","SAC02",0,NA,"052214DR16s","B04"
"160","day0_B04.SP06c_052214DR16s-Sam161-240-pr_filt.fastq.gz","SP06c",0,NA,"052214DR16s","B04"
"161","day0_B04.WiW34_052214DR16s-Sam401-475-pr_filt.fastq.gz","WiW34",0,NA,"052214DR16s","B04"
"162","day0_B04.WYC10_052214DR16s-SAM81-160-pr_filt.fastq.gz","WYC10",0,NA,"052214DR16s","B04"
"163","day0_B04.WYD10_052214DR16s-Sam1-80-pr_filt.fastq.gz","WYD10",0,NA,"052214DR16s","B04"
"164","day0_B04.WYT69_052214DR16s-Sam776-850-pr_filt.fastq.gz","WYT69",0,NA,"052214DR16s","B04"
"165","day0_B05.AE02_052214DR16s-Sam321-400-pr_filt.fastq.gz","AE02",0,NA,"052214DR16s","B05"
"166","day0_B05.BB50_052214DR16s-Sam626-700-pr_filt.fastq.gz","BB50",0,NA,"052214DR16s","B05"
"167","day0_B05.BB74_052214DR16s-Sam701-775-pr_filt.fastq.gz","BB74",0,NA,"052214DR16s","B05"
"168","day0_B05.BB90_052214DR16s-Sam776-850-pr_filt.fastq.gz","BB90",0,NA,"052214DR16s","B05"
"169","day0_B05.BCW10_052214DR16s-Sam1-80-pr_filt.fastq.gz","BCW10",0,NA,"052214DR16s","B05"
"170","day0_B05.SP11_052214DR16s-Sam401-475-pr_filt.fastq.gz","SP11",0,NA,"052214DR16s","B05"
"171","day0_B05.WYC18_052214DR16s-SAM81-160-pr_filt.fastq.gz","WYC18",0,NA,"052214DR16s","B05"
"172","day0_B05.WYC26_052214DR16s-Sam476-550_filt.fastq.gz","WYC26",0,NA,"052214DR16s","B05"
"173","day0_B05.WYC42c_052214DR16s-Sam161-240-pr_filt.fastq.gz","WYC42c",0,NA,"052214DR16s","B05"
