sample	Centroid1.1	Centroid1.2	maxDistToC	minDistToC	meanDistToC	diffDistToC	diffDistRelToC	id.DmaxToC	id.DminToC	maxDistToBdC1.1	minDistToBdC1.1	meanDistToBdC1.1	diffDistToBdC1.1	diffDistRelToBdC1.1	id.DmaxToBdC1.1	id.DminToBdC1.1	maxDistToBdC1.2	minDistToBdC1.2	meanDistToBdC1.2	diffDistToBdC1.2	diffDistRelToBdC1.2	id.DmaxToBdC1.2	id.DminToBdC1.2	maxDistToBd	minDistToBd	meanDistToBd	diffDistToBd	diffRelDistToBd	id.minDistToBd	id.maxDistToBd	id.class.minDistToBd	id.class.maxDistToBd	Nsame.class	Class
WiW27	0.485039482939879	0.787332606797219	0.787332606797219	0.485039482939879	0.636186044868549	0.30229312385734	0.475164657093038	Centroid1.2	Centroid1.1	0.826593666257831	0.353327942689603	0.651272497317304	0.473265723568228	0.726678503265048	WEL14.1	WP08.1	0.828230824324769	0.589951156228756	0.784598054414714	0.238279668096013	0.303696480962806	WEL23.1	PH05.1	0.589951156228756	0.353327942689603	0.47163954945918	0.236623213539153	0.669698557487216	WP08.1	PH05.1	C1	C2	3	1
WiW28	0.653228069537798	0.795258372880986	0.795258372880986	0.653228069537798	0.724243221209392	0.142030303343189	0.196108571242153	Centroid1.2	Centroid1.1	0.826793897489665	0.27835804511712	0.725003330215478	0.548435852372545	0.756459769928981	WEL12.1	WiW28.1	0.825974120680236	0.578715020251562	0.795592166029574	0.247259100428674	0.310786243236441	WEL23.1	PH05.1	0.578715020251562	0.27835804511712	0.428536532684341	0.300356975134442	1.07903105515799	WiW28.1	PH05.1	C1	C2	4	1
WiW29	0.460015172375905	0.781120200719114	0.781120200719114	0.460015172375905	0.620567686547509	0.321105028343209	0.517437558068254	Centroid1.2	Centroid1.1	0.823893494414334	0.414747693833707	0.637239502335975	0.409145800580627	0.642059695108026	WEL12.1	WiW29.1	0.822396141604183	0.646799025501935	0.78532527406835	0.175597116102247	0.223597943298797	AE148.1	CHE09.1	0.646799025501935	0.414747693833707	0.530773359667821	0.232051331668228	0.559499992690179	WiW29.1	CHE09.1	C1	C2	3	1
WiW30	0.792668258860088	0.808034802781866	0.808034802781866	0.792668258860088	0.800351530820977	0.0153665439217781	0.0191997432753274	Centroid1.2	Centroid1.1	0.829229660397402	0.305672844308891	0.802086181841177	0.523556816088512	0.65274384217254	WYC41.1	WiW30.1	0.829454275915966	0.790843534975846	0.814624195055277	0.0386107409401195	0.0473969975044745	BB58.1	CHE09.1	0.790843534975846	0.305672844308891	0.548258189642368	0.485170690666955	1.58722208956409	WiW30.1	CHE09.1	C1	C2	2	none
WiW31	0.662660312913723	0.786600710073499	0.786600710073499	0.662660312913723	0.724630511493611	0.123940397159776	0.171039440368456	Centroid1.2	Centroid1.1	0.826898272223852	0.408677811376493	0.727141055309565	0.418220460847359	0.575157265283709	WEL12.1	WiW31.1	0.826096665932213	0.637668515291112	0.78331394825833	0.188428150641101	0.240552528216897	AE148.1	PH05.1	0.637668515291112	0.408677811376493	0.523173163333802	0.228990703914619	0.560320862890358	WiW31.1	PH05.1	C1	C2	4	1
WiW32	0.677942750479949	0.791188929154318	0.791188929154318	0.677942750479949	0.734565839817134	0.113246178674368	0.154167499406943	Centroid1.2	Centroid1.1	0.825595659925718	0.366429233546196	0.737555030803795	0.459166426379522	0.622552090627215	WEL14.1	SAC08.1	0.824880435205339	0.526487758503434	0.792445149308926	0.298392676701906	0.376546789341984	PH07.1	PH05.1	0.526487758503434	0.366429233546196	0.446458496024815	0.160058524957238	0.436806101435297	SAC08.1	PH05.1	C1	C2	3	1
WiW33	0.509441949595459	0.779314206312553	0.779314206312553	0.509441949595459	0.644378077954006	0.269872256717095	0.41881042504422	Centroid1.2	Centroid1.1	0.822400268399899	0.354074156288011	0.674008436745761	0.468326112111888	0.694837166094024	WEL15.1	WiW33.1	0.825757236478665	0.648886800312776	0.787249912866137	0.176870436165889	0.22466872752257	BB58.1	PH05.1	0.648886800312776	0.354074156288011	0.501480478300393	0.294812644024765	0.832629659039442	WiW33.1	PH05.1	C1	C2	4	1
WiW34	0.767123536035788	0.783023649873747	0.783023649873747	0.767123536035788	0.775073592954768	0.0159001138379586	0.020514327907036	Centroid1.2	Centroid1.1	0.823644145193831	0.311323056243678	0.783544780320125	0.512321088950153	0.653850426699083	WYC41.1	WiW34.1	0.825074594328459	0.705624236430618	0.79609580476113	0.11945035789784	0.150045204589015	PH07.1	WEL04.1	0.705624236430618	0.311323056243678	0.508473646337148	0.39430118018694	1.26653382163354	WiW34.1	WEL04.1	C1	C2	4	1
WiW36	0.487390696185366	0.780111892450329	0.780111892450329	0.487390696185366	0.633751294317848	0.292721196264964	0.461886545857142	Centroid1.2	Centroid1.1	0.82127135566406	0.395785416722759	0.662545379309989	0.425485938941301	0.642198937957164	WEL15.1	WYT94.1	0.823536387846229	0.689854788092627	0.7843674983302	0.133681599753602	0.170432354780368	AE148.1	SAC02.1	0.689854788092627	0.395785416722759	0.542820102407693	0.294069371369868	0.74300203833902	WYT94.1	SAC02.1	C1	C2	4	1
WiW37	0.470480313546268	0.794980582490087	0.794980582490087	0.470480313546268	0.632730448018178	0.324500268943819	0.512857046725364	Centroid1.2	Centroid1.1	0.823856675353094	0.30502305475311	0.655305869503867	0.518833620599984	0.79174267276561	WEL12.1	WiW37.1	0.823887320109754	0.680902982980414	0.796904267654775	0.14298433712934	0.17942473510668	BB58.1	SAC02.1	0.680902982980414	0.30502305475311	0.492963018866762	0.375879928227304	1.23230005853671	WiW37.1	SAC02.1	C1	C2	4	1
