id.DminToC	id.DminToBdC3.1	id.DminToBdC3.2	id.minDistToBd	id.class.minDistToBd	Class
Centroid3.1	WiW34.3	BB06.3	WiW34.3	C1	1
Centroid3.1	WYT94.3	CHE04.3	WYT94.3	C1	1
Centroid3.1	WYT20.3	CHE04.3	WYT20.3	C1	1
Centroid3.1	WiW38.3	CHE04.3	WiW38.3	C1	1
Centroid3.1	WP09.3	CHE04.3	WP09.3	C1	1
Centroid3.1	WP07.3	SP01.3	WP07.3	C1	none
Centroid3.1	WYT55.3	WiW42.3	WYT55.3	C1	none
Centroid3.1	WiW52.3	WiW46.3	WiW52.3	C1	none
Centroid3.1	WiW53.3	WiW41.3	WiW53.3	C1	none
Centroid3.1	WiW26.3	WiW46.3	WiW26.3	C1	none
Centroid3.1	BWd02.3	BB26.3	BWd02.3	C1	none
Centroid3.1	AE26.3	BB61.3	AE26.3	C1	none
Centroid3.1	WYT47.3	AE116.3	WYT47.3	C1	1
Centroid3.1	WiW50.3	SAC06.3	WiW50.3	C1	1
Centroid3.1	BWd02.3	BB26.3	BWd02.3	C1	1
Centroid3.1	WYT95.3	BB32.3	WYT95.3	C1	1
Centroid3.1	LW11.3	BB29.3	BB29.3	C2	1
Centroid3.1	WYT13.3	AE116.3	AE116.3	C2	1
Centroid3.1	WiW55.3	BB16.3	WiW55.3	C1	1
Centroid3.1	BB03.3	RDM01.3	BB03.3	C1	1
Centroid3.1	WiW28.3	PH24.3	WiW28.3	C1	1
Centroid3.1	WP01.3	BB16.3	WP01.3	C1	1
Centroid3.1	AE107.3	CHE04.3	AE107.3	C1	1
Centroid3.1	WP07.3	CHE04.3	WP07.3	C1	1
Centroid3.1	AE107.3	BB57.3	AE107.3	C1	1
Centroid3.1	WP05.3	BB05.3	WP05.3	C1	1
Centroid3.1	WP06.3	BB32.3	WP06.3	C1	1
Centroid3.2	WYM39.3	BB05.3	WYM39.3	C1	1
Centroid3.1	WYM02.3	CHE04.3	WYM02.3	C1	1
Centroid3.1	WYM02.3	CHE04.3	WYM02.3	C1	1
Centroid3.1	WYM39.3	SAC03.3	WYM39.3	C1	2
Centroid3.2	AE50.3	BB30.3	BB30.3	C2	2
Centroid3.2	AE101.3	BB100.3	BB100.3	C2	none
Centroid3.2	WYM39.3	SAC02.3	WYM39.3	C1	2
Centroid3.2	WYM39.3	WEL16.3	WYM39.3	C1	2
Centroid3.2	WYT09.3	BB05.3	WYT09.3	C1	1
Centroid3.2	WYT09.3	WiW44.3	WYT09.3	C1	1
Centroid3.1	WYM39.3	WiW48.3	WYM39.3	C1	1
Centroid3.1	WYT09.3	WiW42.3	WYT09.3	C1	1
Centroid3.1	WYM39.3	WEL16.3	WYM39.3	C1	1
Centroid3.1	BB12.3	CHE04.3	BB12.3	C1	1
Centroid3.1	WYT06.3	BB61.3	WYT06.3	C1	1
Centroid3.1	WYM39.3	WEL16.3	WYM39.3	C1	1
Centroid3.1	WYM27.3	BB61.3	WYM27.3	C1	1
Centroid3.1	WYM29.3	BB32.3	WYM29.3	C1	1
Centroid3.1	WYT09.3	BB05.3	WYT09.3	C1	1
Centroid3.1	WYT09.3	WP15.3	WYT09.3	C1	1
Centroid3.1	AE107.3	CHE04.3	AE107.3	C1	1
Centroid3.1	WYT02.3	BB32.3	WYT02.3	C1	1
Centroid3.1	WYT03.3	CHE11.3	WYT03.3	C1	1
Centroid3.1	WYT04.3	CHE04.3	WYT04.3	C1	1
Centroid3.1	WYT05.3	BB32.3	WYT05.3	C1	1
Centroid3.1	WYT06.3	CHE04.3	WYT06.3	C1	1
Centroid3.1	WYT07.3	CHE04.3	WYT07.3	C1	1
Centroid3.1	WYT08.3	CHE04.3	WYT08.3	C1	1
Centroid3.2	WYT52.3	BB32.3	WYT52.3	C1	1
Centroid3.1	WYT04.3	CHE04.3	WYT04.3	C1	1
Centroid3.2	WYM39.3	WEL16.3	WYM39.3	C1	1
Centroid3.1	WYT13.3	BB32.3	WYT13.3	C1	1
Centroid3.1	WP03.3	SP01.3	WP03.3	C1	1
Centroid3.1	LW12.3	CHE09.3	LW12.3	C1	1
Centroid3.1	WiW11.3	WiW46.3	WiW11.3	C1	1
