sample	Centroid4.1	Centroid4.2	maxDistToC	minDistToC	meanDistToC	diffDistToC	diffDistRelToC	id.DmaxToC	id.DminToC	maxDistToBdC4.1	minDistToBdC4.1	meanDistToBdC4.1	diffDistToBdC4.1	diffDistRelToBdC4.1	id.DmaxToBdC4.1	id.DminToBdC4.1	maxDistToBdC4.2	minDistToBdC4.2	meanDistToBdC4.2	diffDistToBdC4.2	diffDistRelToBdC4.2	id.DmaxToBdC4.2	id.DminToBdC4.2	maxDistToBd	minDistToBd	meanDistToBd	diffDistToBd	diffRelDistToBd	id.minDistToBd	id.maxDistToBd	id.class.minDistToBd	id.class.maxDistToBd	Nsame.class	Class	Converge
WEL06	0.785197953081521	0.797227055978444	0.797227055978444	0.785197953081521	0.791212504529982	0.0120291028969226	0.0152033781418413	Centroid4.2	Centroid4.1	0.819702319784736	0.503909528354827	0.794364075807781	0.315792791429908	0.397541632416826	SAC05.4	WYM39.4	0.829372432576975	0.543228865637925	0.79477455298519	0.286143566939051	0.360031113055003	WEL02.4	BB06.4	0.543228865637925	0.503909528354827	0.523569196996376	0.0393193372830977	0.0780285647931051	WYM39.4	BB06.4	C1	C2	4	2	1
WEL07	0.786196218668846	0.796995301442993	0.796995301442993	0.786196218668846	0.791595760055919	0.0107990827741471	0.0136421685398924	Centroid4.2	Centroid4.1	0.820544949718552	0.541811784336206	0.795650925560532	0.278733165382346	0.350320921434208	AE155.4	WYM39.4	0.828224650237565	0.564795383242804	0.793100290824327	0.263429266994761	0.332151267680106	WEL02.4	BB06.4	0.564795383242804	0.541811784336206	0.553303583789505	0.0229835989065986	0.0424198948252052	WYM39.4	BB06.4	C1	C2	4	2	1
WEL08	0.800646895237451	0.803308019078214	0.803308019078214	0.800646895237451	0.801977457157832	0.00266112384076289	0.00331820279611572	Centroid4.2	Centroid4.1	0.820668546638282	0.428341946739635	0.804852673000714	0.392326599898647	0.487451446779626	AE155.4	BB30.4	0.823249866798322	0.370431164301997	0.767633675376908	0.452818702496325	0.589889053882362	WEL14.4	WiW22.4	0.428341946739635	0.370431164301997	0.399386555520816	0.0579107824376376	0.156333451443695	WiW22.4	BB30.4	C2	C1	4	2	1
WEL09	0.740508597293618	0.759660931814849	0.759660931814849	0.740508597293618	0.750084764554233	0.0191523345212313	0.0255335602405061	Centroid4.2	Centroid4.1	0.80557416202587	0.630224378943677	0.765505009203795	0.175349783082193	0.22906418765904	WYC15.4	WYM39.4	0.815652791063526	0.64439025306572	0.76009435167255	0.171262537997806	0.225317472259793	WEL02.4	BB06.4	0.64439025306572	0.630224378943677	0.637307316004699	0.0141658741220432	0.0224775089560748	WYM39.4	BB06.4	C1	C2	4	2	1
WEL10	0.771616422975573	0.76103484113192	0.771616422975573	0.76103484113192	0.766325632053746	0.0105815818436538	0.0138082055474188	Centroid4.1	Centroid4.2	0.814502929447504	0.639706055590229	0.785732813684458	0.174796873857275	0.222463502621988	WiW55.4	BB30.4	0.81852212377621	0.626654041741226	0.754162503320716	0.191868082034984	0.254412120982087	BB88.4	WEL15.4	0.639706055590229	0.626654041741226	0.633180048665728	0.0130520138490035	0.020828101280153	WEL15.4	BB30.4	C2	C1	3	2	0
WEL11	0.800444186601049	0.791493507746885	0.800444186601049	0.791493507746885	0.795968847173967	0.00895067885416367	0.0112450115176523	Centroid4.1	Centroid4.2	0.822022759590428	0.440402456787975	0.80348413454147	0.381620302802454	0.474956861494516	AE155.4	BB30.4	0.822497490594229	0.407513237870327	0.754083253507586	0.414984252723902	0.550316229399898	BB88.4	WiW22.4	0.440402456787975	0.407513237870327	0.423957847329151	0.0328892189176477	0.080707117858373	WiW22.4	BB30.4	C2	C1	3	2	0
WEL12	0.818511558285227	0.809835787670577	0.818511558285227	0.809835787670577	0.814173672977902	0.00867577061464997	0.0106559213379102	Centroid4.1	Centroid4.2	0.826783484443945	0.585553039824182	0.816587626381955	0.241230444619763	0.295412809141598	WiW55.4	CHE07.4	0.830008178486381	0.319061786331715	0.750172223304138	0.510946392154666	0.681105453230725	WEL02.4	BB40.4	0.585553039824182	0.319061786331715	0.452307413077949	0.266491253492467	0.835234004536686	BB40.4	CHE07.4	C2	C1	3	2	0
WEL13	0.802010008227122	0.787473600377743	0.802010008227122	0.787473600377743	0.794741804302432	0.0145364078493788	0.0182907301096837	Centroid4.1	Centroid4.2	0.820506256552075	0.576546663077822	0.804477217370475	0.243959593474253	0.303252333573426	WiW55.4	CHE07.4	0.823890589647865	0.343077123508689	0.735717765187464	0.480813466139175	0.65352977580562	WEL02.4	BB40.4	0.576546663077822	0.343077123508689	0.459811893293256	0.233469539569133	0.68051619758675	BB40.4	CHE07.4	C2	C1	3	2	0
WEL14	0.790493665754321	0.751874127127969	0.790493665754321	0.751874127127969	0.771183896441145	0.0386195386263527	0.050078248268116	Centroid4.1	Centroid4.2	0.813412994590845	0.728309538472844	0.797007581278085	0.0851034561180019	0.106778728480261	WiW55.4	CHE07.4	0.812116112193294	0.67876805894858	0.756131413657601	0.133348053244714	0.176355658336789	BB88.4	WEL21.4	0.728309538472844	0.67876805894858	0.703538798710712	0.0495414795242632	0.0729873465186378	WEL21.4	CHE07.4	C2	C1	3	2	0
WEL15	0.806819995388645	0.797693749132492	0.806819995388645	0.797693749132492	0.802256872260568	0.00912624625615344	0.0113757158981236	Centroid4.1	Centroid4.2	0.826112075684336	0.457406388334537	0.809183471105731	0.368705687349799	0.455651530852418	AE155.4	BB30.4	0.827042495310856	0.427237143591111	0.759086978615305	0.399805351719745	0.526692412046184	WEL02.4	WiW22.4	0.457406388334537	0.427237143591111	0.442321765962824	0.030169244743426	0.0706147515401881	WiW22.4	BB30.4	C2	C1	3	2	0
