P_obs_class1	5%_class1	95%_class1	sig_class1	P_obs_class2	5%_class2	95%_class2	sig_class2	P_obs_mix	5%_mix	95%_mix	sig_mix	high_class	prop_sig	prop_sig_class
ASV_63	0.536893687784986	0.327748225168283	0.763360891271664	1	1.97782718897827	1.7960476305643	2.17386616943307	1	1.70025350584725	1.52046104413039	1.90664317344292	1	class2	FALSE	none
ASV_64	1.63306004178222	1.43304297430979	1.81554864952074	1	-1.21475210169515	-2.53381552116995	-0.510137208465684	-1	0.815418390977906	0.503026014005264	1.07932644295931	1	class1	TRUE	class1
ASV_65	0.170469662565574	0.116010241375229	0.226733400223999	1	0.192529380630306	0.122513594884076	0.267725748419045	1	0.225815358263773	0.164830964201409	0.286107515187902	1	classmix	FALSE	none
ASV_66	0.124288189868737	0.0593175412286129	0.193060425458609	1	0.379941019748242	0.313164143627658	0.447773151702949	1	0.409416837881195	0.351536418924682	0.468683595846887	1	classmix	FALSE	none
ASV_67	0.148227374985383	0.0884599590953521	0.210364116245683	1	0.258487459484368	0.188374652185926	0.326547675084916	1	0.298376016005504	0.238800564427668	0.355315411751869	1	classmix	FALSE	none
ASV_68	0.984784663597731	0.83126206942161	1.13893286634334	1	1.15441073737792	0.951664373405198	1.35168473549155	1	1.01522035720169	0.824738221736046	1.2024017120939	1	class2	FALSE	none
ASV_69	1.58840609437845	1.3752694036194	1.81382765742769	1	0.179638877406497	-0.513929356407083	0.628939292587892	0	1.85313442614082	1.5956564704219	2.09888669811497	1	classmix	FALSE	none
ASV_70	1.0737094288671	0.923778957824119	1.22152430427592	1	1.25165187325169	1.05222943580744	1.41882155237033	1	0.425352159704264	0.163359339416805	0.655960340612133	1	class2	FALSE	none
ASV_71	0.824480759996628	0.565999565151852	1.0744199040453	1	2.55833693639312	2.35343591862361	2.7661342941731	1	1.31841674425888	1.04536522986263	1.57932883235254	1	class2	TRUE	class2
ASV_72	2.21693828296621	1.95678429804905	2.48345316116002	1	-0.348011074495323	-1.49340912231284	0.336230463317635	0	1.3211460726404	0.842932010128191	1.66992353439867	1	class1	TRUE	class1
ASV_73	1.27507614546682	1.09468854729033	1.44201970074443	1	0.887078730399048	0.607413271473804	1.13987619752414	1	1.05835045100642	0.821712237287981	1.27803088573894	1	class1	FALSE	none
ASV_74	2.6169127327625	2.13672052671625	3.14674737857028	1	3.60253815803771	3.01314574983285	4.16181449822525	1	2.92943172836122	2.27047341451987	3.49485002019619	1	class2	FALSE	none
ASV_75	1.09511617174374	0.917798613635426	1.28249532676729	1	0.822499162758966	0.527263714263024	1.08623484150145	1	1.55338667130176	1.36457779353771	1.75319785986754	1	classmix	TRUE	classmix
ASV_76	1.58421062747003	1.38742199684029	1.76435192375407	1	-1.4689325532973	-2.61429154433602	0	0	1.15907494013138	0.878675649346972	1.40332937389502	1	class1	FALSE	none
ASV_77	2.84500508217825	2.25046097500486	3.45759458796788	1	3.83890641675733	3.14674737857028	4.47934953382671	1	3.31703095680476	2.59291004127417	3.93166366237116	1	class2	FALSE	none
ASV_78	2.4359433404359	2.00502922601834	2.91650108388332	1	2.92429610834983	2.34320090165511	3.4492770544887	1	2.96203643633268	2.46515837031321	3.4684282290939	1	classmix	FALSE	none
ASV_79	1.37049176407943	1.17059094823084	1.57223607374782	1	1.41410056950686	1.12422358302481	1.67047047203155	1	1.28168987631601	1.02148715592497	1.52229245960527	1	class2	FALSE	none
