EC	Final.Rep1.Class1	Final.Rep1.Class2	Final.Rep2.Class1	Final.Rep2.Class2	Final.Rep3.Class1	Final.Rep3.Class2	Final.Rep4.Class1	Final.Rep4.Class2	Starting.Class1	Starting.Class2	Starting.Class3	Starting.Class4	Starting.Class5
2.7.7.85	6.51373452729599e-05	0.000354358143763266	7.0117702255903e-05	0.000373378327593196	3.40544581361382e-05	0.000486675666919638	5.33366270151795e-05	0.000340210778001443	0.000103107867975176	0.000427986563503281	0.000366289146366333	8.99573844857203e-05	0.00134383344102547
2.7.7.87	0.00086878117263883	0.000897262354768085	0.000858580132129194	0.000911069994044203	0.000867653261273893	0.000902202800448107	0.000865772729854292	0.000918936418150938	0.000888592405246546	0.000830999312581135	0.00087555168668116	0.00086980192838464	0.000909538549747787
2.7.7.9	0.00121356283710959	0.00134695496010298	0.00124126594123629	0.00139272867087218	0.00124863850982354	0.00146052941499431	0.00124045525274292	0.00135427282332859	0.00132470174137667	0.00130080470479709	0.0013321590753048	0.00123052572211457	0.00225587023011438
2.7.8.11	4.13159178328977e-06	1.92906060591431e-05	1.92533134689558e-06	1.86554056816215e-05	3.45051493051566e-06	9.36743079015375e-06	3.59965267769837e-06	1.21861177710406e-05	5.72884063738172e-07	6.27826959612523e-07	8.4762134878295e-06	2.79267313956901e-07	2.60859559749466e-07
2.7.8.12	5.81184056374257e-06	3.4682833643507e-05	2.09921414487085e-06	2.35407902183187e-05	3.98769173743717e-06	2.25656235574144e-05	4.40095324841984e-06	1.77534746964942e-05	7.37655004169448e-06	7.98667198695868e-05	0.000133741379100441	2.67371372987136e-05	7.53128463851973e-05
2.7.8.13	0.000917119383395655	0.00103808289825356	0.00090494281977822	0.00102535915964093	0.000895337328417506	0.00102697716037614	0.000913625192857261	0.00103980794520906	0.000911605400316618	0.000885903842574259	0.000995459129404814	0.000899310353398874	0.000980956937413352
2.7.8.14	1.9969946801297e-08	2.3089005801635e-10	1.96044623364033e-08	3.866940856608e-07	7.96746000967784e-09	2.17202788150764e-08	2.19677763987099e-08	3.06880414952331e-08	2.84672339505325e-07	6.1797916942274e-07	1.3425071787207e-07	3.25428250766781e-07	2.29465278216774e-08
2.7.8.15	0	0	0	0	5.36992563990885e-09	0	0	0	3.40023074878299e-09	1.09108962235995e-08	4.92196724612924e-07	2.51931702986078e-08	0
2.7.8.20	0.000196607585114004	7.75494341842513e-05	0.000189333584236709	6.28314178848755e-05	0.000205833490442155	8.08836153880739e-05	0.000192654787637493	5.8767827911563e-05	0.000138185647553114	8.97051771037481e-05	7.73972290742993e-05	0.000252354299876152	5.64750778707506e-05
2.7.8.24	0.000213773413622512	0.000139337427903656	0.000223746795474357	0.000138563502167543	0.000207989007191892	0.000119924975099203	0.00021263317017106	0.000147228697318214	0.00018488977906763	0.000205211928511251	0.000210743191718057	0.000240249171843857	8.57841556124898e-05
