sampleid	Name.2	Community	Species	replicate	BreakingBag	parent	Location	Experiment	Part_Time0D_17	Part_Time0D_6	Part_Time4M_64	Part_Time7D_rep1_2	Part_Time7D_rep2_2	Part_Time7D_rep3_2	Part_Time7D_rep4_2	replicate.partition	partition	Time0D_7D_4M	Time0D_7D	Time0D_7D_matched	ExpCompact	exp.replicate.partition	exp.partition	ancestral.class	Examples	startnone_final_class
BB67	NA	NA	NA	Rep0	NA	BB67	BurhamBeeches	0D	3	3	NA	NA	NA	NA	NA	Rep0.Class3	Class3	4	2	NA	Starting	Starting.Rep0.Class3	Starting.Class3	3	 Other	Starting communities
BB68	NA	NA	NA	Rep0	NA	BB68	BurhamBeeches	0D	15	3	NA	NA	NA	NA	NA	Rep0.Class3	Class3	2	1	NA	Starting	Starting.Rep0.Class3	Starting.Class3	3	 Other	Starting communities
BB69	NA	NA	NA	Rep0	NA	BB69	BurhamBeeches	0D	3	3	NA	NA	NA	NA	NA	Rep0.Class3	Class3	4	2	NA	Starting	Starting.Rep0.Class3	Starting.Class3	3	 Other	Starting communities
BB70	NA	NA	NA	Rep0	NA	BB70	BurhamBeeches	0D	3	3	NA	NA	NA	NA	NA	Rep0.Class3	Class3	2	1	NA	Starting	Starting.Rep0.Class3	Starting.Class3	3	 Other	Starting communities
BB71	NA	NA	NA	Rep0	NA	BB71	BurhamBeeches	0D	14	5	NA	NA	NA	NA	NA	Rep0.Class5	Class5	3	2	NA	Starting	Starting.Rep0.Class5	Starting.Class5	5	 Other	Starting communities
BB72	NA	NA	NA	Rep0	NA	BB72	BurhamBeeches	0D	14	5	NA	NA	NA	NA	NA	Rep0.Class5	Class5	3	2	NA	Starting	Starting.Rep0.Class5	Starting.Class5	5	 Other	Starting communities
BB73	NA	NA	NA	Rep0	NA	BB73	BurhamBeeches	0D	3	3	NA	NA	NA	NA	NA	Rep0.Class3	Class3	3	1	NA	Starting	Starting.Rep0.Class3	Starting.Class3	3	 Other	Starting communities
BB74	NA	NA	NA	Rep0	NA	BB74	BurhamBeeches	0D	4	2	NA	NA	NA	NA	NA	Rep0.Class2	Class2	3	2	NA	Starting	Starting.Rep0.Class2	Starting.Class2	2	 Other	Starting communities
BB75	NA	NA	NA	Rep0	NA	BB75	BurhamBeeches	0D	3	3	NA	NA	NA	NA	NA	Rep0.Class3	Class3	3	2	NA	Starting	Starting.Rep0.Class3	Starting.Class3	3	 Other	Starting communities
BB76	NA	NA	NA	Rep0	NA	BB76	BurhamBeeches	0D	3	3	NA	NA	NA	NA	NA	Rep0.Class3	Class3	4	2	NA	Starting	Starting.Rep0.Class3	Starting.Class3	3	 Other	Starting communities
BB77	NA	NA	NA	Rep0	NA	BB77	BurhamBeeches	0D	3	3	NA	NA	NA	NA	NA	Rep0.Class3	Class3	4	2	NA	Starting	Starting.Rep0.Class3	Starting.Class3	3	 Other	Starting communities
BB78	NA	NA	NA	Rep0	NA	BB78	BurhamBeeches	0D	6	3	NA	NA	NA	NA	NA	Rep0.Class3	Class3	2	1	NA	Starting	Starting.Rep0.Class3	Starting.Class3	3	 Other	Starting communities
BB79	NA	NA	NA	Rep0	NA	BB79	BurhamBeeches	0D	15	3	NA	NA	NA	NA	NA	Rep0.Class3	Class3	2	1	NA	Starting	Starting.Rep0.Class3	Starting.Class3	3	 Other	Starting communities
BB81	NA	NA	NA	Rep0	NA	BB81	BurhamBeeches	0D	5	4	NA	NA	NA	NA	NA	Rep0.Class4	Class4	2	1	NA	Starting	Starting.Rep0.Class4	Starting.Class4	4	 Other	Starting communities
BB82	NA	NA	NA	Rep0	NA	BB82	BurhamBeeches	0D	9	4	NA	NA	NA	NA	NA	Rep0.Class4	Class4	2	1	NA	Starting	Starting.Rep0.Class4	Starting.Class4	4	 Other	Starting communities
BB83	NA	NA	NA	Rep0	NA	BB83	BurhamBeeches	0D	7	4	NA	NA	NA	NA	NA	Rep0.Class4	Class4	4	2	NA	Starting	Starting.Rep0.Class4	Starting.Class4	4	 Other	Starting communities
BB84	NA	NA	NA	Rep0	NA	BB84	BurhamBeeches	0D	5	4	NA	NA	NA	NA	NA	Rep0.Class4	Class4	2	1	NA	Starting	Starting.Rep0.Class4	Starting.Class4	4	 Other	Starting communities
BB85	NA	NA	NA	Rep0	NA	BB85	BurhamBeeches	0D	8	3	NA	NA	NA	NA	NA	Rep0.Class3	Class3	4	2	NA	Starting	Starting.Rep0.Class3	Starting.Class3	3	 Other	Starting communities
BB86	NA	NA	NA	Rep0	NA	BB86	BurhamBeeches	0D	9	4	NA	NA	NA	NA	NA	Rep0.Class4	Class4	2	1	NA	Starting	Starting.Rep0.Class4	Starting.Class4	4	 Other	Starting communities
BB88	NA	NA	NA	Rep0	NA	BB88	BurhamBeeches	0D	6	3	NA	NA	NA	NA	NA	Rep0.Class3	Class3	2	1	1	Starting	Starting.Rep0.Class3	Starting.Class3	3	 Other	Starting communities
BB89	NA	NA	NA	Rep0	NA	BB89	BurhamBeeches	0D	8	3	NA	NA	NA	NA	NA	Rep0.Class3	Class3	4	2	NA	Starting	Starting.Rep0.Class3	Starting.Class3	3	 Other	Starting communities
BB90	NA	NA	NA	Rep0	NA	BB90	BurhamBeeches	0D	3	3	NA	NA	NA	NA	NA	Rep0.Class3	Class3	2	1	NA	Starting	Starting.Rep0.Class3	Starting.Class3	3	 Other	Starting communities
BB91	NA	NA	NA	Rep0	NA	BB91	BurhamBeeches	0D	3	3	NA	NA	NA	NA	NA	Rep0.Class3	Class3	2	1	NA	Starting	Starting.Rep0.Class3	Starting.Class3	3	 Other	Starting communities
BB92	NA	NA	NA	Rep0	NA	BB92	BurhamBeeches	0D	8	3	NA	NA	NA	NA	NA	Rep0.Class3	Class3	4	2	NA	Starting	Starting.Rep0.Class3	Starting.Class3	3	 Other	Starting communities
BB94	NA	NA	NA	Rep0	NA	BB94	BurhamBeeches	0D	3	3	NA	NA	NA	NA	NA	Rep0.Class3	Class3	2	1	NA	Starting	Starting.Rep0.Class3	Starting.Class3	3	 Other	Starting communities
BB97	NA	NA	NA	Rep0	NA	BB97	BurhamBeeches	0D	8	3	NA	NA	NA	NA	NA	Rep0.Class3	Class3	4	2	NA	Starting	Starting.Rep0.Class3	Starting.Class3	3	 Other	Starting communities
BB99	NA	NA	NA	Rep0	NA	BB99	BurhamBeeches	0D	6	4	NA	NA	NA	NA	NA	Rep0.Class4	Class4	3	1	NA	Starting	Starting.Rep0.Class4	Starting.Class4	4	 Other	Starting communities
BCW01	NA	NA	NA	Rep0	NA	BCW01	BirchcleaveWood	0D	17	6	NA	NA	NA	NA	NA	Rep0.Class6	Class6	2	1	NA	Starting	Starting.Rep0.Class6	Starting.Class6	6	 Other	Starting communities
BCW02	NA	NA	NA	Rep0	NA	BCW02	BirchcleaveWood	0D	12	1	NA	NA	NA	NA	NA	Rep0.Class1	Class1	2	1	NA	Starting	Starting.Rep0.Class1	Starting.Class1	1	 Other	Starting communities
BCW03	NA	NA	NA	Rep0	NA	BCW03	BirchcleaveWood	0D	12	1	NA	NA	NA	NA	NA	Rep0.Class1	Class1	2	1	NA	Starting	Starting.Rep0.Class1	Starting.Class1	1	 Other	Starting communities
BCW04	NA	NA	NA	Rep0	NA	BCW04	BirchcleaveWood	0D	3	3	NA	NA	NA	NA	NA	Rep0.Class3	Class3	2	1	NA	Starting	Starting.Rep0.Class3	Starting.Class3	3	 Other	Starting communities
BCW05	NA	NA	NA	Rep0	NA	BCW05	BirchcleaveWood	0D	17	6	NA	NA	NA	NA	NA	Rep0.Class6	Class6	2	1	NA	Starting	Starting.Rep0.Class6	Starting.Class6	6	 Other	Starting communities
BCW06	NA	NA	NA	Rep0	NA	BCW06	BirchcleaveWood	0D	17	6	NA	NA	NA	NA	NA	Rep0.Class6	Class6	3	1	NA	Starting	Starting.Rep0.Class6	Starting.Class6	6	 Other	Starting communities
BCW07	NA	NA	NA	Rep0	NA	BCW07	BirchcleaveWood	0D	17	6	NA	NA	NA	NA	NA	Rep0.Class6	Class6	2	1	NA	Starting	Starting.Rep0.Class6	Starting.Class6	6	 Other	Starting communities
BCW08	NA	NA	NA	Rep0	NA	BCW08	BirchcleaveWood	0D	14	5	NA	NA	NA	NA	NA	Rep0.Class5	Class5	3	1	NA	Starting	Starting.Rep0.Class5	Starting.Class5	5	 Other	Starting communities
BCW10	NA	NA	NA	Rep0	NA	BCW10	AshCopse	0D	12	1	NA	NA	NA	NA	NA	Rep0.Class1	Class1	2	1	NA	Starting	Starting.Rep0.Class1	Starting.Class1	1	 Other	Starting communities
BCW11	NA	NA	NA	Rep0	NA	BCW11	AshCopse	0D	11	1	NA	NA	NA	NA	NA	Rep0.Class1	Class1	2	1	NA	Starting	Starting.Rep0.Class1	Starting.Class1	1	 Other	Starting communities
BCW12	NA	NA	NA	Rep0	NA	BCW12	AshCopse	0D	4	2	NA	NA	NA	NA	NA	Rep0.Class2	Class2	3	1	NA	Starting	Starting.Rep0.Class2	Starting.Class2	2	 Other	Starting communities
BCW13	NA	NA	NA	Rep0	NA	BCW13	AshCopse	0D	17	6	NA	NA	NA	NA	NA	Rep0.Class6	Class6	2	1	NA	Starting	Starting.Rep0.Class6	Starting.Class6	6	 Other	Starting communities
