sampleid	Name.2	Community	Species	replicate	BreakingBag	parent	Location	Experiment	Time0D_7D_4M
G5.CTRL.SP04.1.Com	CTRLRep1Com5	5	CTRL	1	no	SP04	SilwoodPark	4M	1
G6.CTRL.WYC41.1.Com	CTRLRep1Com6	6	CTRL	1	no	WYC41	WythamWoods	4M	1
G7.CTRL.WYC42.1.Com	CTRLRep1Com7	7	CTRL	1	no	WYC42	WythamWoods	4M	1
G8.CTRL.WYM25.1.Com	CTRLRep1Com8	8	CTRL	1	no	WYM25	WythamWoods	4M	1
H1.CTRL.AE103.2.Com	CTRLRep2Com1	1	CTRL	2	no	AE103	AshridgeEstate	4M	1
H2.CTRL.BB22.2.Com	CTRLRep2Com2	2	CTRL	2	no	BB22	BurhamBeeches	4M	1
H3.CTRL.SP02.2.Com	CTRLRep2Com3	3	CTRL	2	no	SP02	SilwoodPark	4M	1
H4.CTRL.SP03.2.Com	CTRLRep2Com4	4	CTRL	2	no	SP03	SilwoodPark	4M	1
H5.CTRL.SP04.2.Com	CTRLRep2Com5	5	CTRL	2	no	SP04	SilwoodPark	4M	1
H6.CTRL.WYC41.2.Com	CTRLRep2Com6	6	CTRL	2	no	WYC41	WythamWoods	4M	1
H7.CTRL.WYC42.2.Com	CTRLRep2Com7	7	CTRL	2	no	WYC42	WythamWoods	4M	2
H8.CTRL.WYM25.2.Com	CTRLRep2Com8	8	CTRL	2	no	WYM25	WythamWoods	4M	2
A9.Riz1.BB66.1.Com	NA	9	Rhizobium.1	1	Yes	BB66	BurhamBeeches	4M	1
A10.Mix.AE103.1.Bag	NA	1	StrainMix	1	Yes	AE103	AshridgeEstate	4M	1
A11.Mix.SP04.1.Bag	NA	5	StrainMix	1	Yes	SP04	SilwoodPark	4M	1
A12.Mix.BB66.1.Bag	NA	9	StrainMix	1	Yes	BB66	BurhamBeeches	4M	1
B9.Riz1.BB66.2.Com	NA	9	Rhizobium.1	2	Yes	BB66	BurhamBeeches	4M	1
B10.Mix.AE103.2.Bag	NA	1	StrainMix	2	Yes	AE103	AshridgeEstate	4M	1
B11.Mix.SP04.2.Bag	NA	5	StrainMix	2	Yes	SP04	SilwoodPark	4M	1
B12.Mix.BB66.2.Bag	NA	9	StrainMix	2	Yes	BB66	BurhamBeeches	4M	1
C9.Nov2.BB66.1.Com	NA	9	Novosphingobium.2	1	Yes	BB66	BurhamBeeches	4M	1
C10.Mix.BB22.1.Bag	NA	9	StrainMix	1	Yes	BB22	BurhamBeeches	4M	1
C11.Mix.WYC41.1.Bag	NA	6	StrainMix	1	Yes	WYC41	WythamWoods	4M	1
C12.AE103.02.Iso	NA	1	Isolate	1	Yes	AE103	AshridgeEstate	4M	1
D9.Nov2.BB66.2.Com	NA	9	Novosphingobium.2	2	Yes	BB66	BurhamBeeches	4M	1
D10.Mix.BB22.2.Bag	NA	2	StrainMix	2	Yes	BB22	BurhamBeeches	4M	1
D11.Mix.WYC41.2.Bag	NA	6	StrainMix	2	Yes	WYC41	WythamWoods	4M	1
D12.BB22.01.Iso	NA	2	Isolate	2	Yes	BB22	BurhamBeeches	4M	1
E9.IsoMix.BB66.1.Com	NA	9	Community	1	Yes	BB66	BurhamBeeches	4M	1
E10.Mix.SP02.1.Bag	NA	3	StrainMix	1	Yes	SP02	SilwoodPark	4M	1
E11.Mix.WYC42.1.Bag	NA	7	StrainMix	1	Yes	WYC42	WythamWoods	4M	1
E12.MQ.CTRL.1.NA	NA	NA	Water	1	Yes	CTRL	NA	4M	1
F9.NIsoMix.BB66.2.Com	NA	9	Community	2	Yes	BB66	BurhamBeeches	4M	1
