sampleid	Name.2	Community	Species	replicate	BreakingBag	parent	Location	Experiment	Part_Time0D_17	Part_Time0D_6	Part_Time4M_64	Part_Time7D_rep1_2	Part_Time7D_rep2_2	Part_Time7D_rep3_2	Part_Time7D_rep4_2	replicate.partition	partition	Time0D_7D_4M	Time0D_7D	Time0D_7D_matched
108	AE101.4	NA	NA	NA	4	NA	AE101	AshridgeEstate	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	2	1	1
109	AE103.1	NA	NA	NA	1	NA	AE103	AshridgeEstate	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	2	1	1
110	AE103.2	NA	NA	NA	2	NA	AE103	AshridgeEstate	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	2	1	1
111	AE103.3	NA	NA	NA	3	NA	AE103	AshridgeEstate	7D_rep3	NA	NA	NA	NA	NA	1	NA	3.1	1	2	1	1
112	AE103.4	NA	NA	NA	4	NA	AE103	AshridgeEstate	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	2	1	1
113	AE107.1	NA	NA	NA	1	NA	AE107	AshridgeEstate	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	2	1	NA
114	AE107.2	NA	NA	NA	2	NA	AE107	AshridgeEstate	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	2	1	NA
115	AE107.3	NA	NA	NA	3	NA	AE107	AshridgeEstate	7D_rep3	NA	NA	NA	NA	NA	1	NA	3.1	1	2	1	NA
116	AE107.4	NA	NA	NA	4	NA	AE107	AshridgeEstate	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	2	1	NA
117	AE110.2	NA	NA	NA	2	NA	AE110	AshridgeEstate	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	2	1	NA
118	AE110.4	NA	NA	NA	4	NA	AE110	AshridgeEstate	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	2	1	NA
119	AE116.1	NA	NA	NA	1	NA	AE116	AshridgeEstate	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	1	1	NA
120	AE116.2	NA	NA	NA	2	NA	AE116	AshridgeEstate	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	3	2	NA
121	AE116.3	NA	NA	NA	3	NA	AE116	AshridgeEstate	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	3	2	NA
122	AE116.4	NA	NA	NA	4	NA	AE116	AshridgeEstate	7D_rep4	NA	NA	NA	NA	NA	NA	2	4.2	2	4	2	NA
123	AE12.1	NA	NA	NA	1	NA	AE12	AshridgeEstate	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	2	1	NA
124	AE12.2	NA	NA	NA	2	NA	AE12	AshridgeEstate	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	2	1	NA
125	AE12.4	NA	NA	NA	4	NA	AE12	AshridgeEstate	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	2	1	NA
126	AE121.1	NA	NA	NA	1	NA	AE121	AshridgeEstate	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	2	1	NA
127	AE121.2	NA	NA	NA	2	NA	AE121	AshridgeEstate	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	2	1	NA
128	AE121.4	NA	NA	NA	4	NA	AE121	AshridgeEstate	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	2	1	NA
129	AE126.1	NA	NA	NA	1	NA	AE126	AshridgeEstate	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
